,Category,Metric,Min,Min Model,Max,Max Models,Variance,Mean
0,electrical_insulator,IMG_AP,0.0000,CFA,0.5287,EfficientAd,0.0359,0.4229
1,electrical_insulator,IMG_F1Max,0.0000,CFA,0.6673,EfficientAd,0.0988,0.4446
2,electrical_insulator,IMG_AUROC,0.0000,CFA,0.5388,EfficientAd,0.0356,0.4194
3,electrical_insulator,PX_AUROC,0.0000,CFA,0.9763,UniNet,0.1093,0.7200
4,electrical_insulator,PX_AP,0.0000,CFA,0.0130,UniNet,0.0000,0.0040
5,electrical_insulator,PX_AUPRO,-0.0000,CFA,0.9118,UniNet,0.1347,0.3948
6,electrical_insulator,PX_F1Max,0.0000,CFA,0.0346,UniNet,0.0002,0.0114
7,electrical_insulator,PX_mIoU,0.0000,CFA,0.0021,UniNet,0.0000,0.0006
8,electrical_insulator,PX_0.2_0.8_F1Max,0.0000,CFA,0.0344,UniNet,0.0002,0.0110
9,electrical_insulator,PX_0.2_0.8_Acc,0.0000,CFA,0.9996,Fastflow,0.2017,0.6236
10,electrical_insulator,PX_0.2_0.8_mIoU,0.0000,CFA,0.0032,UniNet,0.0000,0.0011
11,electrical_insulator,PX_mIoUMax,0.0000,CFA,0.0075,UniNet,0.0000,0.0018
12,electrical_insulator,mADi,0.0000,CFA,0.5783,EfficientAd,0.0437,0.4289
13,electrical_insulator,mADp,0.0000,CFA,0.3413,UniNet,0.0129,0.2451
14,electrical_insulator,mAD_0.2_0.8,0.0000,CFA,0.2591,UniNet,0.0132,0.1594
15,electrical_insulator,rel_images_per_second,0.0000,CFA,0.0797,UniNet,0.0007,0.0491
16,nut_and_bolt,IMG_AP,-0.0000,Dinomaly,0.6390,EfficientAd,0.0419,0.4444
17,nut_and_bolt,IMG_F1Max,0.0000,Dinomaly,0.7034,EfficientAd,0.0633,0.5619
18,nut_and_bolt,IMG_AUROC,0.0000,Dinomaly,0.6839,EfficientAd,0.0452,0.4315
19,nut_and_bolt,PX_AUROC,0.0000,Dinomaly,0.9301,UniNet,0.1057,0.6731
20,nut_and_bolt,PX_AP,-0.0000,Dinomaly,0.0638,EfficientAd,0.0006,0.0242
21,nut_and_bolt,PX_AUPRO,-0.0000,Dinomaly,0.8147,UniNet,0.0979,0.4830
22,nut_and_bolt,PX_F1Max,0.0000,Dinomaly,0.1455,EfficientAd,0.0030,0.0609
23,nut_and_bolt,PX_mIoU,0.0000,Dinomaly,0.0208,EfficientAd,0.0001,0.0076
24,nut_and_bolt,PX_0.2_0.8_F1Max,0.0000,Dinomaly,0.1454,EfficientAd,0.0030,0.0609
25,nut_and_bolt,PX_0.2_0.8_Acc,0.0000,Dinomaly,0.9894,EfficientAd,0.1309,0.7582
26,nut_and_bolt,PX_0.2_0.8_mIoU,0.0000,Dinomaly,0.0293,EfficientAd,0.0001,0.0108
27,nut_and_bolt,PX_mIoUMax,0.0000,Dinomaly,0.0659,EfficientAd,0.0006,0.0235
28,nut_and_bolt,mADi,0.0000,Dinomaly,0.6754,EfficientAd,0.0482,0.4792
29,nut_and_bolt,mADp,0.0000,Dinomaly,0.3765,EfficientAd,0.0166,0.2528
30,nut_and_bolt,mAD_0.2_0.8,0.0000,Dinomaly,0.3075,EfficientAd,0.0112,0.2134
31,nut_and_bolt,rel_images_per_second,0.0366,Dinomaly,0.0973,CFA,0.0004,0.0698
32,witness_mark,IMG_AP,0.4877,UniNet,0.5282,EfficientAd,0.0002,0.5018
33,witness_mark,IMG_F1Max,0.6667,CFA,0.6773,EfficientAd,0.0000,0.6685
34,witness_mark,IMG_AUROC,0.4147,DRAEM,0.5626,EfficientAd,0.0019,0.4900
35,witness_mark,PX_AUROC,0.3976,Dinomaly,0.9273,UniNet,0.0332,0.6570
36,witness_mark,PX_AP,0.0064,Dinomaly,0.0721,UniNet,0.0007,0.0316
37,witness_mark,PX_AUPRO,0.0000,Dinomaly,0.7903,UniNet,0.0924,0.3474
38,witness_mark,PX_F1Max,0.0146,Dinomaly,0.1361,EfficientAd,0.0027,0.0676
39,witness_mark,PX_mIoU,0.0040,DRAEM,0.0233,UniNet,0.0001,0.0124
40,witness_mark,PX_0.2_0.8_F1Max,0.0146,Dinomaly,0.1361,EfficientAd,0.0027,0.0675
41,witness_mark,PX_0.2_0.8_Acc,0.0074,Dinomaly,0.9860,EfficientAd,0.1432,0.6155
42,witness_mark,PX_0.2_0.8_mIoU,0.0046,DRAEM,0.0298,UniNet,0.0001,0.0157
43,witness_mark,PX_mIoUMax,0.0074,Dinomaly,0.0617,EfficientAd,0.0005,0.0299
44,witness_mark,mADi,0.5272,DRAEM,0.5894,EfficientAd,0.0004,0.5534
45,witness_mark,mADp,0.1396,Dinomaly,0.3724,UniNet,0.0071,0.2520
46,witness_mark,mAD_0.2_0.8,0.0092,Dinomaly,0.3021,EfficientAd,0.0131,0.1821
47,witness_mark,rel_images_per_second,0.0354,Dinomaly,0.0937,CFA,0.0004,0.0675
