model,IMG_AUROC,IMG_AP,IMG_F1Max,PX_AUROC,PX_AP,PX_F1Max,PX_AUPRO,PX_mIoU,PX_mIoUMax,PX_0.2_0.8_mIoU,PX_0.2_0.8_F1Max,PX_0.2_0.8_Acc,mADi,mADp,mAD_0.2_0.8,rel_images_per_second
\emph{electrical_insulator},,,,,,,,,,,,,,,,
CFA,-0.015,-0.013,-0.000,-0.155,-0.000,-0.000,-0.213,0.000,-0.000,0.000,-0.000,0.065,-0.009,-0.052,0.016,0.092
DRAEM,0.343,0.006,0.000,-0.021,-0.001,-0.008,-0.068,-0.000,-0.000,-0.001,-0.008,-0.241,0.116,-0.010,-0.063,0.060
EfficientAd,0.055,0.036,0.000,0.117,0.006,0.026,0.769,0.001,0.001,0.002,0.025,-0.003,0.031,0.050,0.006,0.050
\emph{witness_mark},,,,,,,,,,,,,,,,
Fastflow,-0.049,-0.027,-0.002,-0.133,-0.104,-0.176,0.598,0.017,0.048,0.022,-0.176,-0.016,-0.026,-0.138,-0.030,0.080
DRAEM,-0.133,-0.025,-0.003,-0.426,-0.203,-0.305,-0.924,-0.032,-0.183,-0.046,-0.305,-0.600,-0.054,-0.311,-0.284,0.061
EfficientAd,-0.286,-0.217,-0.163,-0.225,-0.270,-0.281,-0.332,-0.045,-0.177,-0.062,-0.281,-0.004,-0.222,-0.258,-0.131,0.051
\emph{nut_and_bolt},,,,,,,,,,,,,,,,
CFA,0.009,-0.001,-0.000,-0.205,-0.006,-0.014,-0.274,-0.003,-0.008,-0.004,-0.014,-0.302,0.003,-0.075,-0.082,0.097
Fastflow,-0.004,-0.010,0.000,0.086,0.004,0.013,0.197,0.002,0.006,0.003,0.013,0.429,-0.005,0.034,0.113,0.081
